country,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,43.1,42.6,43.1,42.1,42.3,,
Malta,45.5,44.8,44.5,42.5,42.3,41.5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,42.3,35.3,40.3,38.9,40.9,39.2,39.4,39.6,39.6,39.3,38.7,38.3,38.3,38,37.5,37.7,38.3,37.8,38,39.1,38.1
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2,,48.3,45.6,45.7,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,42.9,43.4,42.2,42.9,42.8,42.4,43.3,43.4,42.7
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,48,47,48,47,48,49,48,48,48,50,49.7,46.8
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,39.7,38.1,39.7,39.2,39.3,38.9,38.9,38.6,38.1,39.4,37.3,36.5,35.8,35.9,36.3,36.9,35.1,36.8,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,48.3,48.1,47.4,48.2,48,47.3,46.9,47.1,47.1,46.7,46.4,45.9,46.2,45.4,45.5,45.5,45,45.1,43.2
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,40.7,,37.4,36.9,44.6,,45.4,,43.1,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,43.2,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,,,,,,48,41.4,,35.6,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,31.1,31.1,31,30.9,32.7,32.7,32.4,32.2,32,31.9,31.1,31.3,31,32.3,32.6,32.5,32.4,32.2,32,32.3,32,31.9,32.3,32.1,32.4,32.4,32.2,32.3,31.7
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,35.5,36.3,36.3,36.2,34.7,34.6,35.6,33.5,33.6,35,34.9,34.8,34.9,34.5,34.4,34.6,34.6,34.4,34.7,34.3,34.5,34.4,34.2,34,33.8
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,53.6,,40.3,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,34.5,34.8,34.4,34.4,34.4,34.4,35.1,34.8,34.4,34,33.9,33,33,33,33,33,33,33,33,33,33,33,33
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,47,46.3,,45.8,47.1,46.8,47.4,,46.8,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,,,43.5,43.4,43.5,43.1,43.4,43.3,43.1,40.8,39.1,39.1,40.9,39.4,39.5,39,39.1,38.2,37.9,36.8,36.6,31.2
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,39.6,39.4,39.3,39.6,39.3,39.3,38.4,38,38.1,38.2,38.2,38,38.6,38,38.2,38.4,38.3,32.9
Philippines,,,,,,,,,,,,,,,,,,,47.8,46.7,46.9,47.6,42.6,42.4,41.5,42,42,41.6,41.6,41.6,42.2,42.1,,40.8,,,,40.4,40.9,41.2,40.5,41.1,40.6,40.6,41.2,40.3,40.5,41.8,41,41.8,41.7,35.6
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,42.8,40.2,41.8,41.2,41.5,41.4,41.6,41.2,41.2,41.2,41,40.6,40.5,40.3,40.3,40.2,40.4,40.4,40.5,40.1,39.6,39.5,39.1
Puerto Rico,38.3,37.8,37.8,37.7,37.9,36.8,36.6,35.7,36.9,37.1,37.2,36.7,35.5,36.2,36.3,36.1,35.9,36.4,35.1,35.9,36.5,35.5,35.8,35,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,41.6,42.1,41.9,42.3,41.4,40.5,40.1,40.3,39.4,39.4,39.1,38.3,39.4,39,38.9,38.5,38.5,38.6,38.6,38.5,38.3,38.5,38.7,38.8,38.4,38.4,38.5,38.3,37.4
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,42.2,,40.2,41.4,42.4,42.2,43.5,44.3,43.3,43.4,41.8,43.1,44.7,41.4,43.2,42.7,41.9,41.4,41.6,39.6,39.4,35.7
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,41.6,,37.2,38,39.1,39.2,39.1,34.9
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,51,50,50,50,50,50,49,,48,48
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,38,36.5,38.3,41,40.2,40.2,40.4,40.3,41.3,41.4,41.2,40.5,40.2,40.3,40,39.8,39.6,39.5,39.3,39.2,39.2,38.7,39,39,38.9,39.2,38.7
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,38.1,38.1,38.1,38.2,38,38,38.1,37.9,37.8,36
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,31.8,33,32.1,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2,,49.5,49.9,49.1,46.8,44.1,,,,,45.1
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,38.6,,,44.1,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,45.6,45.3,44.3,44.2,,44.7,44.2,44.7,42.6
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,42.1,41.3,41.7,42.1,42.3,42.2,42.1,42.1,42.8,42.8
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,42.4,42.1,42.1,42.5,40.7,36.6,39.1,39,38.5,39,39,38
